x,y
-0.857059,-2.453812
-0.871627,-2.459826
-0.405992,-2.267602
-0.857059,-2.453812
-0.391424,-2.261588
-0.405992,-2.267602
-0.362494,-2.249645
-0.391424,-2.261588
-0.358908,-2.248164
-0.362494,-2.249645
-0.317035,-2.230879
-0.358908,-2.248164
-0.276331,-2.214075
-0.317035,-2.230879
-0.272861,-2.212642
-0.276331,-2.214075
-0.244987,-2.201136
-0.272861,-2.212642
-0.231047,-2.195381
-0.244987,-2.201136
0.241628,-2.000251
-0.231047,-2.195381
0.255568,-1.994496
0.241628,-2.000251
0.283442,-1.982989
0.255568,-1.994496
0.286912,-1.981557
0.283442,-1.982989
0.331022,-1.963347
0.286912,-1.981557
0.377564,-1.944134
0.331022,-1.963347
0.381261,-1.942608
0.377564,-1.944134
0.411214,-1.930242
0.381261,-1.942608
0.426403,-1.923972
0.411214,-1.930242
0.857811,-1.745878
0.426403,-1.923972
0.872999,-1.739608
0.857811,-1.745878
0.902953,-1.727242
0.872999,-1.739608
0.906650,-1.725716
0.902953,-1.727242
0.979080,-1.695816
0.906650,-1.725716
1.063660,-1.660899
0.979080,-1.695816
1.068220,-1.659017
1.063660,-1.660899
1.106683,-1.643139
1.068220,-1.659017
1.127651,-1.634483
1.106683,-1.643139
1.430195,-1.509586
1.127651,-1.634483
1.451163,-1.500930
1.430195,-1.509586
1.489626,-1.485052
1.451163,-1.500930
1.494186,-1.483169
1.489626,-1.485052
1.569097,-1.452245
1.494186,-1.483169
1.719876,-1.390000
1.569097,-1.452245
1.824219,-1.346925
1.719876,-1.390000
1.835529,-1.342256
1.824219,-1.346925
1.995948,-1.276032
1.835529,-1.342256
2.007259,-1.271362
1.995948,-1.276032
2.095919,-1.234762
2.007259,-1.271362
2.163741,-1.206763
2.095919,-1.234762
2.170667,-1.203904
2.163741,-1.206763
2.244395,-1.173468
2.170667,-1.203904
2.370447,-1.121431
2.244395,-1.173468
2.444175,-1.090995
2.370447,-1.121431
2.451101,-1.088135
2.444175,-1.090995
2.561646,-1.042500
2.451101,-1.088135
2.622741,-1.017279
2.561646,-1.042500
-2.037027,-2.833234
-2.635446,-3.080274
-1.908075,-2.780000
-2.037027,-2.833234
-1.510205,-2.615751
-1.908075,-2.780000
-1.442090,-2.587632
-1.510205,-2.615751
-1.301567,-2.529621
-1.442090,-2.587632
-1.066304,-2.432500
-1.301567,-2.529621
-0.983382,-2.398268
-1.066304,-2.432500
-0.898950,-2.363413
-0.983382,-2.398268
-0.894677,-2.361649
-0.898950,-2.363413
-0.859170,-2.346991
-0.894677,-2.361649
-0.840354,-2.339223
-0.859170,-2.346991
-0.498666,-2.198167
-0.840354,-2.339223
-0.479849,-2.190399
-0.498666,-2.198167
-0.444342,-2.175741
-0.479849,-2.190399
-0.440070,-2.173978
-0.444342,-2.175741
-0.367245,-2.143914
-0.440070,-2.173978
-0.303254,-2.117497
-0.367245,-2.143914
-0.299640,-2.116005
-0.303254,-2.117497
-0.270456,-2.103958
-0.299640,-2.116005
-0.255736,-2.097881
-0.270456,-2.103958
0.190349,-1.913728
-0.255736,-2.097881
0.205069,-1.907651
0.190349,-1.913728
0.234253,-1.895603
0.205069,-1.907651
0.237867,-1.894112
0.234253,-1.895603
0.280813,-1.876382
0.237867,-1.894112
0.322262,-1.859271
0.280813,-1.876382
0.325729,-1.857840
